0	0	0
18	84	3
45	169	13
87	0	0
89	84	2
97	169	13
173	2	0
174	85	0
178	169	11
87	0	0
89	84	2
97	169	13
173	2	0
174	85	0
178	169	11
255	5	0
255	85	0
255	169	7
0	0	0
0	5	85
0	19	169
87	0	0
82	5	85
64	19	169
173	2	0
171	7	84
165	20	169
87	0	0
82	5	85
64	19	169
173	2	0
171	7	84
165	20	169
255	5	0
255	10	84
255	22	169
0	0	0
0	5	85
0	19	169
18	84	3
0	85	85
0	87	170
45	169	13
34	169	87
0	170	170
18	84	3
0	85	85
0	87	170
45	169	13
34	169	87
0	170	170
72	253	26
66	253	89
40	254	171
0	34	254
0	91	254
0	172	255
0	34	254
0	91	254
32	172	255
152	35	254
153	92	254
157	172	254
0	34	254
0	91	254
32	172	255
152	35	254
153	92	254
157	172	254
248	36	254
248	92	254
251	172	254
72	253	26
66	253	89
40	254	171
111	253	26
108	253	89
96	254	171
185	253	25
183	253	89
177	254	171
111	253	26
108	253	89
96	254	171
185	253	25
183	253	89
177	254	171
255	253	22
255	253	88
255	254	171
255	5	0
255	10	84
255	22	169
255	85	0
255	86	84
255	88	169
255	169	7
255	169	86
255	170	170
255	85	0
255	86	84
255	88	169
255	169	7
255	169	86
255	170	170
255	253	22
255	253	88
255	254	171
