8	31	43
5	34	44
0	50	50
0	77	61
0	94	66
0	112	70
0	121	73
0	130	74
0	135	76
0	143	75
8	31	44
3	35	46
0	51	53
0	75	60
0	92	65
0	109	69
0	119	72
0	127	74
0	134	75
0	142	74
8	33	53
0	37	55
0	55	63
0	76	68
0	93	72
0	110	75
0	121	77
0	129	78
0	136	76
0	144	75
0	33	71
0	37	74
0	58	86
0	79	92
0	97	94
0	113	94
0	124	92
0	130	89
0	136	83
0	145	81
0	30	88
0	38	94
0	61	109
0	81	119
0	100	120
0	117	118
0	126	112
0	133	104
0	138	97
0	148	92
0	29	103
0	36	109
0	62	129
0	81	142
0	101	148
0	119	141
0	128	136
0	135	124
0	139	114
0	147	106
0	25	116
0	36	125
0	63	145
0	85	160
0	105	168
0	124	171
0	132	160
0	138	147
0	143	135
0	148	126
0	21	124
0	34	133
0	63	154
0	87	171
0	107	182
0	126	190
0	135	184
0	145	176
0	149	160
0	150	143
0	21	132
0	30	137
0	60	157
0	85	173
0	104	186
0	124	197
0	133	198
0	143	191
0	153	184
0	151	167
0	17	134
0	30	139
0	58	157
0	79	170
0	98	182
0	117	194
0	127	199
0	138	202
0	147	198
0	150	187
8	31	44
3	35	46
0	51	53
0	75	60
0	92	65
0	109	69
0	119	72
0	127	74
0	134	75
0	142	74
8	33	53
0	37	55
0	55	63
0	76	68
0	93	72
0	110	75
0	121	77
0	129	78
0	136	76
0	144	75
0	33	71
0	37	74
0	58	86
0	79	92
0	97	94
0	113	94
0	124	92
0	130	89
0	136	83
0	145	81
0	30	88
0	38	94
0	61	109
0	81	119
0	100	120
0	117	118
0	126	112
0	133	104
0	138	97
0	148	92
0	29	103
0	36	109
0	62	129
0	81	142
0	101	148
0	119	141
0	128	136
0	135	124
0	139	114
0	147	106
0	25	116
0	36	125
0	63	145
0	85	160
0	105	168
0	124	171
0	132	160
0	138	147
0	143	135
0	148	126
0	21	124
0	34	133
0	63	154
0	87	171
0	107	182
0	126	190
0	135	184
0	145	176
0	149	160
0	150	143
0	21	132
0	30	137
0	60	157
0	85	173
0	104	186
0	124	197
0	133	198
0	143	191
0	153	184
0	151	167
0	17	134
0	30	139
0	58	157
0	79	170
0	98	182
0	117	194
0	127	199
0	138	202
0	147	198
0	150	187
0	14	132
0	28	140
0	52	152
0	78	171
0	96	181
0	111	191
0	125	200
0	134	204
0	142	206
0	147	202
211	0	19
212	0	19
218	19	24
228	62	31
234	92	34
243	118	40
249	143	41
255	174	41
255	198	37
255	229	19
210	0	21
212	0	23
217	27	26
221	57	28
234	91	38
241	117	43
247	141	46
253	173	46
255	200	43
255	226	38
212	0	32
212	0	31
218	31	36
227	63	44
235	94	59
242	123	69
247	147	74
252	177	80
252	201	73
255	230	76
212	0	51
213	0	51
220	35	59
229	72	73
237	101	87
241	126	94
248	154	102
252	182	112
253	208	107
253	234	107
212	0	68
215	0	77
219	38	80
230	76	96
238	105	109
244	132	118
248	159	126
251	185	132
252	210	134
252	234	131
211	0	84
213	0	90
220	45	101
231	80	117
238	110	131
244	137	144
248	164	155
248	185	156
250	213	162
249	234	159
207	0	97
210	0	105
219	50	124
230	85	139
237	112	148
244	141	162
247	166	170
249	186	175
249	212	180
247	235	179
199	0	115
201	0	116
215	47	136
227	87	154
236	113	165
242	140	178
246	166	185
248	186	194
248	213	200
245	234	197
188	0	126
193	0	129
204	39	145
220	83	167
232	112	181
241	141	195
244	165	201
246	187	208
246	211	219
244	233	225
178	0	137
184	0	139
198	35	154
207	69	168
223	101	187
234	129	201
241	159	216
244	185	225
244	212	235
242	233	243
210	0	21
212	0	23
217	27	26
221	57	28
234	91	38
241	117	43
247	141	46
253	173	46
255	200	43
255	226	38
212	0	32
212	0	31
218	31	36
227	63	44
235	94	59
242	123	69
247	147	74
252	177	80
252	201	73
255	230	76
212	0	51
213	0	51
220	35	59
229	72	73
237	101	87
241	126	94
248	154	102
252	182	112
253	208	107
253	234	107
212	0	68
215	0	77
219	38	80
230	76	96
238	105	109
244	132	118
248	159	126
251	185	132
252	210	134
252	234	131
211	0	84
213	0	90
220	45	101
231	80	117
238	110	131
244	137	144
248	164	155
248	185	156
250	213	162
249	234	159
207	0	97
210	0	105
219	50	124
230	85	139
237	112	148
244	141	162
247	166	170
249	186	175
249	212	180
247	235	179
199	0	115
201	0	116
215	47	136
227	87	154
236	113	165
242	140	178
246	166	185
248	186	194
248	213	200
245	234	197
188	0	126
193	0	129
204	39	145
220	83	167
232	112	181
241	141	195
244	165	201
246	187	208
246	211	219
244	233	225
178	0	137
184	0	139
198	35	154
207	69	168
223	101	187
234	129	201
241	159	216
244	185	225
244	212	235
242	233	243
170	0	142
177	0	144
191	25	156
207	69	176
220	96	190
235	126	207
241	162	224
244	185	233
246	214	244
243	238	252
8	31	43
23	33	43
51	34	40
76	34	38
89	33	35
108	33	34
126	30	30
157	26	30
179	15	26
200	0	22
8	31	44
24	33	44
53	34	43
78	36	43
96	35	40
113	34	38
132	30	34
158	25	31
178	12	26
200	0	24
8	33	53
23	34	56
52	35	57
72	35	57
94	34	56
114	34	52
135	32	49
161	24	43
181	15	38
203	0	34
0	33	71
9	33	73
43	34	74
68	34	76
91	34	74
115	32	72
136	31	71
163	23	65
180	14	60
202	0	54
0	30	88
0	29	88
32	33	92
57	33	93
84	33	93
105	32	91
126	30	90
157	22	82
176	14	78
198	0	72
0	29	103
0	30	105
11	29	105
43	30	108
71	30	106
95	30	105
115	27	105
146	23	97
171	15	92
194	0	89
0	25	116
0	25	117
0	25	117
32	25	120
64	26	120
89	27	120
105	24	119
128	21	116
158	11	110
182	0	103
0	21	124
0	24	127
0	25	127
16	24	129
50	23	130
77	22	129
96	20	129
116	20	129
142	10	125
173	0	119
0	21	132
0	20	133
0	20	133
0	20	135
40	20	135
65	17	136
90	17	136
109	17	136
128	11	135
159	0	132
0	17	134
0	17	133
0	17	135
0	19	136
32	18	137
59	17	138
80	14	140
101	10	140
120	7	141
147	0	137
8	31	44
24	33	44
53	34	43
78	36	43
96	35	40
113	34	38
132	30	34
158	25	31
178	12	26
200	0	24
8	33	53
23	34	56
52	35	57
72	35	57
94	34	56
114	34	52
135	32	49
161	24	43
181	15	38
203	0	34
0	33	71
9	33	73
43	34	74
68	34	76
91	34	74
115	32	72
136	31	71
163	23	65
180	14	60
202	0	54
0	30	88
0	29	88
32	33	92
57	33	93
84	33	93
105	32	91
126	30	90
157	22	82
176	14	78
198	0	72
0	29	103
0	30	105
11	29	105
43	30	108
71	30	106
95	30	105
115	27	105
146	23	97
171	15	92
194	0	89
0	25	116
0	25	117
0	25	117
32	25	120
64	26	120
89	27	120
105	24	119
128	21	116
158	11	110
182	0	103
0	21	124
0	24	127
0	25	127
16	24	129
50	23	130
77	22	129
96	20	129
116	20	129
142	10	125
173	0	119
0	21	132
0	20	133
0	20	133
0	20	135
40	20	135
65	17	136
90	17	136
109	17	136
128	11	135
159	0	132
0	17	134
0	17	133
0	17	135
0	19	136
32	18	137
59	17	138
80	14	140
101	10	140
120	7	141
147	0	137
0	14	132
0	16	136
0	16	135
0	16	139
22	16	137
56	14	139
77	12	135
97	10	141
116	8	143
141	0	141
0	148	72
0	159	72
0	168	69
0	175	68
64	185	65
86	191	63
125	202	60
168	215	49
207	224	39
249	236	28
0	148	73
0	161	72
0	168	69
34	178	67
68	185	66
95	193	63
133	204	58
172	216	52
205	225	45
249	235	32
0	150	75
0	165	72
0	173	71
21	179	70
67	187	69
94	194	68
134	206	68
170	217	66
210	229	66
249	239	68
0	150	81
0	164	78
0	174	76
15	180	77
60	186	76
94	197	82
139	211	88
170	221	88
204	231	91
244	241	96
0	151	88
0	164	87
0	177	87
24	185	92
64	192	93
95	200	98
138	214	105
172	224	108
208	234	111
240	241	118
0	153	104
0	167	105
0	180	104
0	186	108
63	195	113
100	204	116
140	216	120
174	226	129
212	237	132
241	243	141
0	155	123
0	167	122
0	180	125
0	187	128
64	197	133
109	209	140
143	219	147
173	228	155
207	237	161
233	243	168
0	156	141
0	169	143
0	182	150
0	190	160
40	198	162
94	208	172
138	220	181
174	230	184
208	238	187
236	244	192
0	161	161
0	170	167
0	180	178
0	189	187
0	197	194
75	206	196
132	219	207
170	230	213
205	238	216
235	245	222
0	155	182
